PIO logic analyser example
Arming trigger
Capture:
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
0D27F01B A7F0 1B 0
