PIO logic analyser example
Arming trigger
Capture:
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19000081 0000 81 268435456
09000083 0000 83 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
1100009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
09000089 0000 89 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
09000012 0000 12 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
09000083 0000 83 0
09000083 0000 83 0
09000083 0000 83 0
09000083 0000 83 0
19000083 0000 83 268435456
19000083 0000 83 268435456
19000083 0000 83 268435456
09000081 0000 81 0
09000081 0000 81 0
09000081 0000 81 0
09000081 0000 81 0
19000081 0000 81 268435456
19000081 0000 81 268435456
09000081 0000 81 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19001010 0010 10 268435456
09001010 0010 10 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
19001001 0010 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19001001 0010 01 268435456
09001001 0010 01 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
19001000 0010 00 268435456
19001000 0010 00 268435456
09001000 0010 00 0
09001080 0010 80 0
09001080 0010 80 0
09001080 0010 80 0
09001080 0010 80 0
19001080 0010 80 268435456
19001080 0010 80 268435456
09001098 0010 98 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
